collection_id,loan_id,application_no,outcome,reason
54340,6,HEV-000223,not_updated,non_pending_in_dp_export
54341,6,HEV-000223,not_updated,part_payment_not_handled
58998,6,HEV-000223,not_updated,non_pending_in_dp_export
58999,6,HEV-000223,not_updated,part_payment_not_handled
54860,7,HEV-000222,not_updated,non_pending_in_dp_export
54861,7,HEV-000222,not_updated,part_payment_not_handled
53303,8,HEV-000221,not_updated,non_pending_in_dp_export
53304,8,HEV-000221,not_updated,part_payment_not_handled
12240,8,HEV-000221,would_update_or_updated,
52158,11,HEV-000216,not_updated,non_pending_in_dp_export
52159,11,HEV-000216,not_updated,part_payment_not_handled
12342,12,HEV-000229,not_updated,combine_paid_on_missing_or_invalid
35040,18,HEV-000231,not_updated,non_pending_in_dp_export
35041,18,HEV-000231,not_updated,no_COMBINE_for_loan
35042,18,HEV-000231,not_updated,no_COMBINE_for_loan
51785,22,HEV-000203,not_updated,non_pending_in_dp_export
51786,22,HEV-000203,not_updated,part_payment_not_handled
58194,22,HEV-000203,not_updated,non_pending_in_dp_export
58195,22,HEV-000203,not_updated,part_payment_not_handled
66196,22,HEV-000203,not_updated,non_pending_in_dp_export
66197,22,HEV-000203,not_updated,part_payment_not_handled
23294,24,HEV-UP-53,would_update_or_updated,
12498,26,HEV-000243,not_updated,combine_paid_on_missing_or_invalid
5439,36,HEV-RJ-65,not_updated,combine_paid_on_missing_or_invalid
5440,36,HEV-RJ-65,not_updated,combine_paid_on_missing_or_invalid
5441,36,HEV-RJ-65,not_updated,combine_paid_on_missing_or_invalid
50316,41,HEV-UP-85,not_updated,non_pending_in_dp_export
50317,41,HEV-UP-85,not_updated,part_payment_not_handled
57545,41,HEV-UP-85,not_updated,non_pending_in_dp_export
57546,41,HEV-UP-85,not_updated,part_payment_not_handled
23767,49,HEV-UP-91,would_update_or_updated,
57058,51,HEV-000278,not_updated,non_pending_in_dp_export
57059,51,HEV-000278,not_updated,part_payment_not_handled
35105,53,HEV-000233,not_updated,amount_mismatch_exact_required
23797,55,HEV-UP-93,would_update_or_updated,
14480,72,HEV-000383,not_updated,combine_paid_on_missing_or_invalid
54965,74,HEV-UP-98,not_updated,non_pending_in_dp_export
54966,74,HEV-UP-98,not_updated,part_payment_not_handled
58449,74,HEV-UP-98,not_updated,non_pending_in_dp_export
58450,74,HEV-UP-98,not_updated,part_payment_not_handled
57551,80,HEV-UP-97,not_updated,non_pending_in_dp_export
57552,80,HEV-UP-97,not_updated,part_payment_not_handled
23893,93,HEV-UP-101,would_update_or_updated,
23868,95,HEV-UP-99,would_update_or_updated,
23869,95,HEV-UP-99,would_update_or_updated,
23870,95,HEV-UP-99,not_updated,combine_paid_on_missing_or_invalid
61292,97,HEV-UP-102,not_updated,non_pending_in_dp_export
61293,97,HEV-UP-102,not_updated,part_payment_not_handled
53301,103,HEV-RJ-74,not_updated,non_pending_in_dp_export
53302,103,HEV-RJ-74,not_updated,part_payment_not_handled
58421,103,HEV-RJ-74,not_updated,non_pending_in_dp_export
58422,103,HEV-RJ-74,not_updated,part_payment_not_handled
57723,109,HEV-UP-108,not_updated,non_pending_in_dp_export
57724,109,HEV-UP-108,not_updated,part_payment_not_handled
57691,118,HEV-000290,not_updated,non_pending_in_dp_export
57692,118,HEV-000290,not_updated,part_payment_not_handled
58174,120,HEV-UP-110,not_updated,non_pending_in_dp_export
58175,120,HEV-UP-110,not_updated,part_payment_not_handled
26304,122,HEV-UP-305,not_updated,combine_paid_on_missing_or_invalid
12587,134,HEV-000250,not_updated,combine_paid_on_missing_or_invalid
24039,138,HEV-UP-114,would_update_or_updated,
58994,140,HEV-UP-117,not_updated,non_pending_in_dp_export
58995,140,HEV-UP-117,not_updated,part_payment_not_handled
67305,140,HEV-UP-117,not_updated,combine_paid_on_missing_or_invalid
67306,140,HEV-UP-117,not_updated,combine_paid_on_missing_or_invalid
13258,141,HEV-000301,not_updated,combine_paid_on_missing_or_invalid
5668,163,HEV-RJ-84,not_updated,amount_mismatch_exact_required
5669,163,HEV-RJ-84,not_updated,amount_mismatch_exact_required
5670,163,HEV-RJ-84,not_updated,amount_mismatch_exact_required
55164,165,HEV-RJ-89,not_updated,non_pending_in_dp_export
55165,165,HEV-RJ-89,not_updated,part_payment_not_handled
5793,174,HEV-RJ-96,not_updated,combine_paid_on_missing_or_invalid
24208,190,HEV-UP-127,not_updated,combine_paid_on_missing_or_invalid
24169,203,HEV-UP-125,not_updated,combine_close_type_blocked
24170,203,HEV-UP-125,not_updated,combine_close_type_blocked
24171,203,HEV-UP-125,not_updated,combine_close_type_blocked
24172,203,HEV-UP-125,not_updated,combine_close_type_blocked
25492,211,HEV-UP-231,would_update_or_updated,
56954,213,HEV-UP-233,not_updated,non_pending_in_dp_export
56955,213,HEV-UP-233,not_updated,part_payment_not_handled
63081,213,HEV-UP-233,not_updated,non_pending_in_dp_export
63082,213,HEV-UP-233,not_updated,part_payment_not_handled
56976,219,HEV-UP-165,not_updated,non_pending_in_dp_export
56977,219,HEV-UP-165,not_updated,part_payment_not_handled
24385,244,HEV-UP-142,not_updated,combine_paid_on_missing_or_invalid
24888,245,HEV-UP-184,not_updated,amount_mismatch_exact_required
5912,247,HEV-RJ-107,not_updated,combine_paid_on_missing_or_invalid
56934,252,HEV-UP-157,not_updated,non_pending_in_dp_export
56935,252,HEV-UP-157,not_updated,part_payment_not_handled
24277,255,HEV-UP-132,not_updated,combine_paid_on_missing_or_invalid
25270,278,HEV-UP-215,would_update_or_updated,
25271,278,HEV-UP-215,not_updated,combine_paid_on_missing_or_invalid
56520,280,HEV-UP-148,not_updated,part_payment_not_handled
56521,280,HEV-UP-148,not_updated,part_payment_not_handled
25164,281,HEV-UP-206,not_updated,combine_paid_on_missing_or_invalid
52170,288,HEV-RJ-134,not_updated,non_pending_in_dp_export
52171,288,HEV-RJ-134,not_updated,part_payment_not_handled
52174,292,HEV-RJ-151,not_updated,non_pending_in_dp_export
52175,292,HEV-RJ-151,not_updated,part_payment_not_handled
6511,292,HEV-RJ-151,would_update_or_updated,
52699,295,HEV-RJ-126,not_updated,non_pending_in_dp_export
52700,295,HEV-RJ-126,not_updated,part_payment_not_handled
25055,318,HEV-UP-196,not_updated,combine_close_type_blocked
25056,318,HEV-UP-196,not_updated,combine_close_type_blocked
25057,318,HEV-UP-196,not_updated,combine_close_type_blocked
58451,328,HEV-000368,not_updated,non_pending_in_dp_export
58452,328,HEV-000368,not_updated,part_payment_not_handled
13588,339,HEV-000321,not_updated,combine_paid_on_missing_or_invalid
14008,342,HEV-000351,not_updated,combine_close_type_blocked
14009,342,HEV-000351,not_updated,combine_close_type_blocked
14010,342,HEV-000351,not_updated,combine_close_type_blocked
56538,348,HEV-UP-232,not_updated,non_pending_in_dp_export
56539,348,HEV-UP-232,not_updated,part_payment_not_handled
