collection_id,loan_id,application_no,reason,reason desc
2494,2706,HEV-UPW-5,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
2495,2706,HEV-UPW-5,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
2496,2706,HEV-UPW-5,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
2506,1394,HEV-UPW-6,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
2507,1394,HEV-UPW-6,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
2604,1643,HEV-UPW-13,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
2664,1677,HEV-UPW-17,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
2688,1715,HEV-UPW-19,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
2700,1729,HEV-UPW-20,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
3071,2266,HEV-UPW-46,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
3931,3308,HEV-UPW-105,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
3932,3308,HEV-UPW-105,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
4079,3372,HEV-UPW-115,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
4109,3374,HEV-UPW-118,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
4169,3364,HEV-UPW-122,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
4199,3438,HEV-UPW-124,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
4217,3008,HEV-UPW-125,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
4514,2516,HEV-RJ-1,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
4634,2521,HEV-RJ-8,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
4635,2521,HEV-RJ-8,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
4636,2521,HEV-RJ-8,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
4671,2523,HEV-RJ-10,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
4672,2523,HEV-RJ-10,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
5143,2552,HEV-RJ-44,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
5144,2552,HEV-RJ-44,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
5145,2552,HEV-RJ-44,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
5187,2556,HEV-RJ-48,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5205,2557,HEV-RJ-49,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5313,2560,HEV-RJ-55,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5331,2561,HEV-RJ-56,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5439,36,HEV-RJ-65,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5440,36,HEV-RJ-65,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5441,36,HEV-RJ-65,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5668,163,HEV-RJ-84,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
5669,163,HEV-RJ-84,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
5670,163,HEV-RJ-84,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
5688,2577,HEV-RJ-85,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5775,2581,HEV-RJ-95,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5793,174,HEV-RJ-96,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5811,2582,HEV-RJ-97,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5900,424,HEV-RJ-106,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5912,247,HEV-RJ-107,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
6001,423,HEV-RJ-114,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
6322,519,HEV-RJ-135,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
6577,505,HEV-RJ-155,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
6866,678,HEV-RJ-177,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
6867,678,HEV-RJ-177,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
6868,678,HEV-RJ-177,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
7096,783,HEV-RJ-194,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
7108,812,HEV-RJ-196,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
7692,1209,HEV-RJ-247,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
7716,1212,HEV-RJ-249,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
7743,1223,HEV-RJ-251,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
7744,1223,HEV-RJ-251,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
7745,1223,HEV-RJ-251,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
7746,1223,HEV-RJ-251,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
7776,1238,HEV-RJ-254,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
7794,1267,HEV-RJ-255,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
7806,1258,HEV-RJ-256,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
8353,1663,HEV-RJ-299,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
8379,1694,HEV-RJ-302,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
8380,1694,HEV-RJ-302,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
8638,1889,HEV-RJ-322,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
8950,2752,HEV-RJ-360,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
8951,2752,HEV-RJ-360,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
8990,2749,HEV-RJ-363,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
9002,2782,HEV-RJ-364,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
9207,2298,HEV-000001,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
9494,2314,HEV-000023,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
9829,2335,HEV-000054,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
9864,2337,HEV-000058,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
9931,2343,HEV-000066,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
10088,2352,HEV-000077,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
10089,2352,HEV-000077,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
10219,2358,HEV-000085,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
10257,2360,HEV-000087,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
10404,2368,HEV-000096,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
10405,2368,HEV-000096,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
10406,2368,HEV-000096,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
10407,2368,HEV-000096,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
10641,2382,HEV-000115,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
10683,2384,HEV-000118,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
10821,2390,HEV-000129,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
10822,2390,HEV-000129,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
11187,2411,HEV-000153,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
11188,2411,HEV-000153,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
11800,2444,HEV-000191,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
