collection_id,center_id,org_id,loan_id,sale_id,emi_installment_no,is_active,invoice_doc_id,collection_type,collection_subtype,due_amount,fine_amount,follow_up_date,last_call,due_date,status,expire_reason,info,parent_id,collector_id,caller_id,created_by,created_at,loan_term_id,receipt_doc_id,is_last_collection,discount_amount,discount_reason
45000,13,1,3706,0,-1,True,,SETTLEMENT,NA,11200.0,0,,,5000-01-01 05:30:00,DONE,HEV-UPW-157,,,2368,,2368,2026-02-04,3425,,False,,
45001,4,1,2727,0,-1,True,,SETTLEMENT,NA,36600.0,0,,,5000-01-01 05:30:00,DONE,HEV-UP-29,,,1084,,1084,2026-01-16,2683,,False,,
45002,4,1,573,0,-1,True,,SETTLEMENT,NA,57000.0,0,,,5000-01-01 05:30:00,DONE,HEV-UP-246,,,1084,,1084,2025-09-05,441,,False,,
45003,4,1,711,0,-1,True,,SETTLEMENT,NA,37000.0,0,,,5000-01-01 05:30:00,DONE,HEV-UP-281,,,1084,,1084,2026-01-24,225,,False,,
45004,4,1,1977,0,-1,True,,SETTLEMENT,NA,37000.0,0,,,5000-01-01 05:30:00,DONE,HEV-UP-632,,,1084,,1084,2026-01-02,2023,,False,,
45005,5,1,2644,0,-1,True,,SETTLEMENT,NA,0.0,0,,,5000-01-01 05:30:00,DONE,HEV-UP-52,,,1071,,1071,2026-01-29,2600,,False,,
45006,5,1,101,0,-1,True,,SETTLEMENT,NA,0.0,0,,,5000-01-01 05:30:00,DONE,HEV-UP-118,,,1071,,1071,2026-01-11,319,,False,,
45007,4,1,203,0,-1,True,,SETTLEMENT,NA,0.0,0,,,5000-01-01 05:30:00,DONE,HEV-UP-125,,,1084,,1084,2026-02-07,117,,False,,
45008,5,1,2680,0,-1,True,,SETTLEMENT,NA,0.0,0,,,5000-01-01 05:30:00,DONE,HEV-UP-171,,,1071,,1071,2026-04-01,2636,,False,,
45009,5,1,318,0,-1,True,,SETTLEMENT,NA,32600.0,0,,,5000-01-01 05:30:00,DONE,HEV-UP-196,,,1071,,1071,2026-02-11,770,,False,,
45010,5,1,417,0,-1,True,,SETTLEMENT,NA,0.0,0,,,5000-01-01 05:30:00,DONE,HEV-UP-198,,,1071,,1071,2026-03-13,846,,False,,
45011,4,1,1432,0,-1,True,,SETTLEMENT,NA,11720.0,0,,,5000-01-01 05:30:00,DONE,HEV-UP-478,,,1084,,1084,2026-02-06,1342,,False,,
45012,5,1,1602,0,-1,True,,SETTLEMENT,NA,45000.0,0,,,5000-01-01 05:30:00,DONE,HEV-UP-520,,,1071,,1071,2026-02-14,1765,,False,,
45013,4,1,2003,0,-1,True,,SETTLEMENT,NA,0.0,0,,,5000-01-01 05:30:00,DONE,HEV-UP-640,,,1084,,1084,2026-02-05,2039,,False,,
