trans_id,is_aggr_trans,org_id,center_id,collection_id,is_active,transaction_cd,trans_type,trans_subtype,mode,amount,recorded_by,scrap_type_id,recon_status,recon_by,recon_at,recon_comment,is_settled,from_user,from_customer,to_user,created_by,created_at,trans_comments,parent_trans_id,request_id,deposit_trans_ids,actual_created_at
45000,False,1,13,45000,True,,CREDIT,RECORD_PAYMENT,CASH,11200.0,2368,0,ACCEPTED,2368,2026-02-04,HEV-UPW-157,True,0,6010,2368,2368,2026-02-04,HEV-UPW-157,,,,2026-05-18 09:13:14.115220
45001,False,1,4,45001,True,DUMMYBC2A,CREDIT,RECORD_PAYMENT,UPI,36600.0,1084,0,ACCEPTED,1084,2026-01-16,HEV-UP-29,True,0,3036,1084,1084,2026-01-16,HEV-UP-29,,,,2026-05-18 09:13:14.116599
45002,False,1,4,45002,True,,CREDIT,RECORD_PAYMENT,CASH,57000.0,1084,0,ACCEPTED,1084,2025-09-05,HEV-UP-246,True,0,583,1084,1084,2025-09-05,HEV-UP-246,,,,2026-05-18 09:13:14.117278
45003,False,1,4,45003,True,,CREDIT,RECORD_PAYMENT,CASH,37000.0,1084,0,ACCEPTED,1084,2026-01-24,HEV-UP-281,True,0,721,1084,1084,2026-01-24,HEV-UP-281,,,,2026-05-18 09:13:14.117864
45004,False,1,4,45004,True,,CREDIT,RECORD_PAYMENT,CASH,37000.0,1084,0,ACCEPTED,1084,2026-01-02,HEV-UP-632,True,0,2047,1084,1084,2026-01-02,HEV-UP-632,,,,2026-05-18 09:13:14.118465
45005,False,1,5,45009,True,,CREDIT,RECORD_PAYMENT,CASH,29600.0,1071,0,ACCEPTED,1071,2026-02-11,HEV-UP-196,True,0,328,1071,1071,2026-02-11,HEV-UP-196,,,,2026-05-18 09:13:14.160350
45006,False,1,5,45009,True,DUMMYBC2A,CREDIT,RECORD_PAYMENT,UPI,3000.0,1071,0,ACCEPTED,1071,2026-02-11,HEV-UP-196,True,0,328,1071,1071,2026-02-11,HEV-UP-196,,,,2026-05-18 09:13:14.160350
45007,False,1,4,45011,True,,CREDIT,RECORD_PAYMENT,CASH,6720.0,1084,0,ACCEPTED,1084,2026-02-06,HEV-UP-478,True,0,1471,1084,1084,2026-02-06,HEV-UP-478,,,,2026-05-18 09:13:14.181486
45008,False,1,4,45011,True,DUMMYBC2A,CREDIT,RECORD_PAYMENT,UPI,5000.0,1084,0,ACCEPTED,1084,2026-02-06,HEV-UP-478,True,0,1471,1084,1084,2026-02-06,HEV-UP-478,,,,2026-05-18 09:13:14.181486
45009,False,1,5,45012,True,DUMMYBC2A,CREDIT,RECORD_PAYMENT,UPI,45000.0,1071,0,ACCEPTED,1071,2026-02-14,HEV-UP-520,True,0,1649,1071,1071,2026-02-14,HEV-UP-520,,,,2026-05-18 09:13:14.189165
45010,False,1,6,45026,True,DUMMYBC2A,CREDIT,RECORD_PAYMENT,UPI,350.0,3583,0,ACCEPTED,3583,2025-09-25,HEV-RJ-98,True,0,201,3583,3583,2025-09-25,HEV-RJ-98,,,,2026-05-18 09:13:14.235745
45011,False,1,3,45046,True,,CREDIT,RECORD_PAYMENT,CASH,41000.0,1060,0,ACCEPTED,1060,2026-03-02,HEV-000647,True,0,1525,1060,1060,2026-03-02,HEV-000647,,,,2026-05-18 09:13:14.297628
