collection_id,loan_id,application_no,reason
30443,2003,HEV-UP-640,tracker_paid_on_missing_or_invalid
30444,2003,HEV-UP-640,tracker_paid_on_missing_or_invalid
30445,2003,HEV-UP-640,tracker_paid_on_missing_or_invalid
30446,2003,HEV-UP-640,tracker_paid_on_missing_or_invalid
30447,2003,HEV-UP-640,tracker_paid_on_missing_or_invalid
30448,2003,HEV-UP-640,tracker_paid_on_missing_or_invalid
30449,2003,HEV-UP-640,tracker_paid_on_missing_or_invalid
30450,2003,HEV-UP-640,tracker_paid_on_missing_or_invalid
30451,2003,HEV-UP-640,tracker_paid_on_missing_or_invalid
30452,2003,HEV-UP-640,tracker_paid_on_missing_or_invalid
30453,2003,HEV-UP-640,tracker_paid_on_missing_or_invalid
30454,2003,HEV-UP-640,tracker_paid_on_missing_or_invalid
30455,2003,HEV-UP-640,tracker_paid_on_missing_or_invalid
30456,2003,HEV-UP-640,tracker_paid_on_missing_or_invalid
50782,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50783,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50784,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50785,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50786,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50787,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50788,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50789,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50790,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50791,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50792,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50793,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50794,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50795,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50796,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50797,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50798,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
50799,3706,HEV-UPW-157,tracker_paid_on_missing_or_invalid
