2026-05-17 15:39:22,880 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | loaded 5 env vars from /home/prince/Desktop/BACKFILL/.env
2026-05-17 15:39:23,030 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=3706 raw_application_id=3706 raw_dp_collection_id=50289 raw_phase=PHASE_3
2026-05-17 15:39:23,030 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2727 raw_application_id=2727 raw_dp_collection_id=1010 raw_phase=PHASE_3
2026-05-17 15:39:23,030 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=573 raw_application_id=573 raw_dp_collection_id=1226 raw_phase=PHASE_2
2026-05-17 15:39:23,035 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=573 application_id=573 dp_collection_id=1226 current_status=DONE
2026-05-17 15:39:23,035 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=711 raw_application_id=711 raw_dp_collection_id=1260 raw_phase=PHASE_2
2026-05-17 15:39:23,036 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=711 application_id=711 dp_collection_id=1260 current_status=DONE
2026-05-17 15:39:23,037 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=1977 raw_application_id=1977 raw_dp_collection_id=1605 raw_phase=PHASE_2
2026-05-17 15:39:23,038 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=1977 application_id=1977 dp_collection_id=1605 current_status=DONE
2026-05-17 15:39:23,038 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2644 raw_application_id=2644 raw_dp_collection_id=1032 raw_phase=PHASE_3
2026-05-17 15:39:23,038 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=101 raw_application_id=101 raw_dp_collection_id=1098 raw_phase=PHASE_3
2026-05-17 15:39:23,039 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=203 raw_application_id=203 raw_dp_collection_id=1105 raw_phase=PHASE_3
2026-05-17 15:39:23,039 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2680 raw_application_id=2680 raw_dp_collection_id=1151 raw_phase=PHASE_3
2026-05-17 15:39:23,039 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=318 raw_application_id=318 raw_dp_collection_id=1176 raw_phase=PHASE_3
2026-05-17 15:39:23,039 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=417 raw_application_id=417 raw_dp_collection_id=1178 raw_phase=PHASE_3
2026-05-17 15:39:23,039 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=1432 raw_application_id=1432 raw_dp_collection_id=1453 raw_phase=PHASE_3
2026-05-17 15:39:23,039 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=1602 raw_application_id=1602 raw_dp_collection_id=1494 raw_phase=PHASE_3
2026-05-17 15:39:23,039 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2003 raw_application_id=2003 raw_dp_collection_id=1613 raw_phase=PHASE_3
2026-05-17 15:39:23,039 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2040 raw_application_id=2040 raw_dp_collection_id=1625 raw_phase=PHASE_3
2026-05-17 15:39:23,039 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2231 raw_application_id=2231 raw_dp_collection_id=1680 raw_phase=PHASE_3
2026-05-17 15:39:23,039 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2832 raw_application_id=2832 raw_dp_collection_id=1742 raw_phase=PHASE_3
2026-05-17 15:39:23,039 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2523 raw_application_id=2523 raw_dp_collection_id=2078 raw_phase=PHASE_3
2026-05-17 15:39:23,040 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2524 raw_application_id=2524 raw_dp_collection_id=2079 raw_phase=PHASE_3
2026-05-17 15:39:23,040 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2554 raw_application_id=2554 raw_dp_collection_id=2114 raw_phase=PHASE_3
2026-05-17 15:39:23,040 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2563 raw_application_id=2563 raw_dp_collection_id=2126 raw_phase=PHASE_3
2026-05-17 15:39:23,040 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=33 raw_application_id=33 raw_dp_collection_id=2132 raw_phase=PHASE_2
2026-05-17 15:39:23,041 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=33 application_id=33 dp_collection_id=2132 current_status=DONE
2026-05-17 15:39:23,041 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2569 raw_application_id=2569 raw_dp_collection_id=2135 raw_phase=PHASE_2
2026-05-17 15:39:23,042 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=2569 application_id=2569 dp_collection_id=2135 current_status=DONE
2026-05-17 15:39:23,042 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2574 raw_application_id=2574 raw_dp_collection_id=2149 raw_phase=PHASE_2
2026-05-17 15:39:23,042 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=2574 application_id=2574 dp_collection_id=2149 current_status=DONE
2026-05-17 15:39:23,043 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2579 raw_application_id=2579 raw_dp_collection_id=2154 raw_phase=PHASE_2
2026-05-17 15:39:23,043 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=2579 application_id=2579 dp_collection_id=2154 current_status=DONE
2026-05-17 15:39:23,043 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=85 raw_application_id=85 raw_dp_collection_id=2157 raw_phase=PHASE_2
2026-05-17 15:39:23,044 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=85 application_id=85 dp_collection_id=2157 current_status=DONE
2026-05-17 15:39:23,044 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=198 raw_application_id=198 raw_dp_collection_id=2161 raw_phase=PHASE_2
2026-05-17 15:39:23,045 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=198 application_id=198 dp_collection_id=2161 current_status=DONE
2026-05-17 15:39:23,045 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=191 raw_application_id=191 raw_dp_collection_id=2165 raw_phase=PHASE_2
2026-05-17 15:39:23,046 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=191 application_id=191 dp_collection_id=2165 current_status=DONE
2026-05-17 15:39:23,046 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=260 raw_application_id=260 raw_dp_collection_id=2179 raw_phase=PHASE_2
2026-05-17 15:39:23,046 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=260 application_id=260 dp_collection_id=2179 current_status=DONE
2026-05-17 15:39:23,046 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=491 raw_application_id=491 raw_dp_collection_id=2204 raw_phase=PHASE_2
2026-05-17 15:39:23,047 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=491 application_id=491 dp_collection_id=2204 current_status=DONE
2026-05-17 15:39:23,047 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2593 raw_application_id=2593 raw_dp_collection_id=2237 raw_phase=PHASE_2
2026-05-17 15:39:23,048 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=2593 application_id=2593 dp_collection_id=2237 current_status=DONE
2026-05-17 15:39:23,048 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2594 raw_application_id=2594 raw_dp_collection_id=2239 raw_phase=PHASE_2
2026-05-17 15:39:23,049 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=2594 application_id=2594 dp_collection_id=2239 current_status=DONE
2026-05-17 15:39:23,049 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=790 raw_application_id=790 raw_dp_collection_id=2264 raw_phase=PHASE_2
2026-05-17 15:39:23,050 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=790 application_id=790 dp_collection_id=2264 current_status=DONE
2026-05-17 15:39:23,050 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=988 raw_application_id=988 raw_dp_collection_id=2288 raw_phase=PHASE_2
2026-05-17 15:39:23,051 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=988 application_id=988 dp_collection_id=2288 current_status=DONE
2026-05-17 15:39:23,051 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=1223 raw_application_id=1223 raw_dp_collection_id=2316 raw_phase=PHASE_3
2026-05-17 15:39:23,051 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=1567 raw_application_id=1567 raw_dp_collection_id=2353 raw_phase=PHASE_2
2026-05-17 15:39:23,051 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=1567 application_id=1567 dp_collection_id=2353 current_status=DONE
2026-05-17 15:39:23,051 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=1997 raw_application_id=1997 raw_dp_collection_id=2394 raw_phase=PHASE_2
2026-05-17 15:39:23,052 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=1997 application_id=1997 dp_collection_id=2394 current_status=DONE
2026-05-17 15:39:23,052 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2341 raw_application_id=2341 raw_dp_collection_id=57 raw_phase=PHASE_2
2026-05-17 15:39:23,053 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=2341 application_id=2341 dp_collection_id=57 current_status=DONE
2026-05-17 15:39:23,054 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2401 raw_application_id=2401 raw_dp_collection_id=131 raw_phase=PHASE_2
2026-05-17 15:39:23,055 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=2401 application_id=2401 dp_collection_id=131 current_status=DONE
2026-05-17 15:39:23,055 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2422 raw_application_id=2422 raw_dp_collection_id=156 raw_phase=PHASE_2
2026-05-17 15:39:23,056 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=2422 application_id=2422 dp_collection_id=156 current_status=DONE
2026-05-17 15:39:23,057 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2459 raw_application_id=2459 raw_dp_collection_id=200 raw_phase=PHASE_2
2026-05-17 15:39:23,058 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=2459 application_id=2459 dp_collection_id=200 current_status=DONE
2026-05-17 15:39:23,058 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=4 raw_application_id=4 raw_dp_collection_id=215 raw_phase=PHASE_2
2026-05-17 15:39:23,058 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=4 application_id=4 dp_collection_id=215 current_status=DONE
