trans_id,is_aggr_trans,org_id,center_id,collection_id,is_active,transaction_cd,trans_type,trans_subtype,mode,amount,recorded_by,scrap_type_id,recon_status,recon_by,recon_at,recon_comment,is_settled,from_user,from_customer,to_user,created_by,created_at,trans_comments,parent_trans_id,request_id,deposit_trans_ids,actual_created_at
15000,True,1,1,12240,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4100.0,1060,0,ACCEPTED,1060,2026-04-13T00:00:00+00:00,,True,0,8,1060,1060,2026-04-13T00:00:00+00:00,HEV-000221,,,,2026-04-22T19:25:10.223970+00:00
15001,True,1,1,14933,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,5000.0,1060,0,ACCEPTED,1060,2026-04-06T00:00:00+00:00,,True,0,596,1060,1060,2026-04-06T00:00:00+00:00,HEV-000411,,,,2026-04-22T19:25:10.244812+00:00
15002,True,1,1,22509,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,3150.0,1060,0,ACCEPTED,1060,2026-03-06T00:00:00+00:00,,True,0,5723,1060,1060,2026-03-06T00:00:00+00:00,HEV-Litfin-20,,,,2026-04-22T19:25:10.274970+00:00
15003,True,1,1,50982,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,5500.0,1060,0,ACCEPTED,1060,2026-06-04T00:00:00+00:00,,True,0,5980,1060,1060,2026-06-04T00:00:00+00:00,HEV-Litfin-31,,,,2026-04-22T19:25:10.294015+00:00
15004,True,1,1,53413,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,5000.0,1060,0,ACCEPTED,1060,2026-04-20T00:00:00+00:00,,True,0,6571,1060,1060,2026-04-20T00:00:00+00:00,HEV-Litfin-47,,,,2026-04-22T19:25:10.312005+00:00
15005,True,1,2,21023,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,3150.0,1072,0,ACCEPTED,1072,2026-02-14T00:00:00+00:00,,True,0,2255,1072,1072,2026-02-14T00:00:00+00:00,HEV-000882,,,,2026-04-22T19:25:10.341946+00:00
15006,True,1,2,9476,True,,CREDIT,RECORD_PAYMENT,CASH,3500.0,1072,0,ACCEPTED,1072,2026-04-16T00:00:00+00:00,,True,0,3881,1072,1072,2026-04-16T00:00:00+00:00,HEV-000022,,,,2026-04-22T19:25:10.365019+00:00
15007,True,1,2,9476,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,500.0,1072,0,ACCEPTED,1072,2026-04-16T00:00:00+00:00,,True,0,3881,1072,1072,2026-04-16T00:00:00+00:00,HEV-000022,,,,2026-04-22T19:25:10.365019+00:00
15008,True,1,2,12171,True,,CREDIT,RECORD_PAYMENT,CASH,600.0,1072,0,ACCEPTED,1072,2026-04-10T00:00:00+00:00,,True,0,4048,1072,1072,2026-04-10T00:00:00+00:00,HEV-000215,,,,2026-04-22T19:25:10.394343+00:00
15009,True,1,2,12171,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,3000.0,1072,0,ACCEPTED,1072,2026-04-10T00:00:00+00:00,,True,0,4048,1072,1072,2026-04-10T00:00:00+00:00,HEV-000215,,,,2026-04-22T19:25:10.394343+00:00
15010,True,1,2,68133,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4000.0,1072,0,ACCEPTED,1072,2026-03-23T00:00:00+00:00,,True,0,6787,1072,1072,2026-03-23T00:00:00+00:00,HEV-001073,,,,2026-04-22T19:25:10.419658+00:00
15011,True,1,3,12663,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4300.0,1060,0,ACCEPTED,1060,2026-02-24T00:00:00+00:00,,True,0,4067,1060,1060,2026-02-24T00:00:00+00:00,HEV-000256,,,,2026-04-22T19:25:10.446187+00:00
15012,True,1,3,12404,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4300.0,1060,0,ACCEPTED,1060,2026-03-16T00:00:00+00:00,,True,0,3763,1060,1060,2026-03-16T00:00:00+00:00,HEV-000235,,,,2026-04-22T19:25:10.464207+00:00
15013,True,1,3,21413,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,6020.0,1060,0,ACCEPTED,1060,2026-03-02T00:00:00+00:00,,True,0,4720,1060,1060,2026-03-02T00:00:00+00:00,HEV-000909,,,,2026-04-22T19:25:10.482963+00:00
15014,True,1,3,51489,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,3150.0,1060,0,ACCEPTED,1060,2026-04-20T00:00:00+00:00,,True,0,6114,1060,1060,2026-04-20T00:00:00+00:00,HEV-Litfin-36,,,,2026-04-22T19:25:10.502221+00:00
15015,True,1,4,25492,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,5000.0,1084,0,ACCEPTED,1084,2026-03-28T00:00:00+00:00,,True,0,221,1084,1084,2026-03-28T00:00:00+00:00,HEV-UP-231,,,,2026-04-22T19:25:10.524413+00:00
15016,True,1,4,25428,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,5000.0,1084,0,ACCEPTED,1084,2026-02-27T00:00:00+00:00,,True,0,411,1084,1084,2026-02-27T00:00:00+00:00,HEV-UP-227,,,,2026-04-22T19:25:10.547306+00:00
15017,True,1,4,25744,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,5000.0,1084,0,ACCEPTED,1084,2026-04-02T00:00:00+00:00,,True,0,457,1084,1084,2026-04-02T00:00:00+00:00,HEV-UP-257,,,,2026-04-22T19:25:10.563240+00:00
15018,True,1,4,24792,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4000.0,1084,0,ACCEPTED,1084,2026-04-03T00:00:00+00:00,,True,0,461,1084,1084,2026-04-03T00:00:00+00:00,HEV-UP-177,,,,2026-04-22T19:25:10.581691+00:00
15019,True,1,4,26573,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4000.0,1084,0,ACCEPTED,1084,2026-03-25T00:00:00+00:00,,True,0,818,1084,1084,2026-03-25T00:00:00+00:00,HEV-UP-328,,,,2026-04-22T19:25:10.602376+00:00
15020,True,1,4,26645,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,3580.0,1084,0,ACCEPTED,1084,2036-03-23T00:00:00+00:00,,True,0,906,1084,1084,2036-03-23T00:00:00+00:00,HEV-UP-333,,,,2026-04-22T19:25:10.621972+00:00
15021,True,1,4,26787,True,DUMMYBC2,CREDIT,RECORD_PAYMENT,UPI,4000.0,1084,0,ACCEPTED,1084,2026-02-03T00:00:00+00:00,,True,0,947,1084,1084,2026-02-03T00:00:00+00:00,HEV-UP-345,,,,2026-04-22T19:25:10.641592+00:00
